epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,623.354,0.86737,0.88127,0.95499,0.99926,0.9363,0.98229,0.78722,0.80616,1.31076,0.98638,0.0010817,0.0010817,0.0010817
70,632.103,0.83454,0.79584,0.96228,1,0.95575,0.97997,0.77742,0.82421,1.20845,0.99042,0.00107923,0.00107923,0.00107923
71,640.786,0.85999,0.74824,0.99237,0.9925,0.9698,0.97968,0.78325,0.82372,1.16504,0.98262,0.00107675,0.00107675,0.00107675
72,649.553,0.79312,0.81852,0.9586,0.98736,0.95439,0.98014,0.78697,0.82011,1.13,0.98641,0.00107427,0.00107427,0.00107427
73,658.283,0.73424,0.83381,0.92526,0.97492,0.9488,0.97964,0.77569,0.85561,1.20695,1.0131,0.0010718,0.0010718,0.0010718
74,667.243,0.82311,0.74592,0.94334,0.9763,0.9467,0.97912,0.77176,0.85839,1.13855,1.02612,0.00106933,0.00106933,0.00106933
75,676.396,0.82892,0.7808,0.93566,0.98442,0.95237,0.97968,0.77457,0.85908,1.09472,1.02413,0.00106685,0.00106685,0.00106685
76,685.277,0.82535,0.76641,0.92976,0.98221,0.95908,0.98053,0.77132,0.84087,1.08034,1.01012,0.00106437,0.00106437,0.00106437
77,694.333,0.84629,0.85782,0.97578,0.98391,0.94845,0.97922,0.76813,0.81768,1.08444,1.01474,0.0010619,0.0010619,0.0010619
78,703.081,0.87877,0.83146,1.02638,0.98402,0.95416,0.97442,0.74865,0.87191,1.07199,1.0454,0.00105942,0.00105942,0.00105942
79,711.891,0.81593,0.76396,0.94706,0.98165,0.96161,0.97733,0.75296,0.88913,1.02613,1.06335,0.00105695,0.00105695,0.00105695
80,720.896,0.86455,0.77309,0.96499,0.98868,0.95977,0.98301,0.74165,0.90901,1.06512,1.07553,0.00105448,0.00105448,0.00105448
81,729.901,0.8548,0.8068,0.95614,0.99195,0.96913,0.99017,0.74805,0.89808,1.05586,1.05394,0.001052,0.001052,0.001052
82,738.668,0.82774,0.76172,0.9934,0.99021,0.9783,0.99182,0.78536,0.82133,0.96127,1.01184,0.00104952,0.00104952,0.00104952
83,747.497,0.74215,0.74067,0.91698,0.98747,0.98175,0.99432,0.80258,0.78717,0.85937,0.99377,0.00104705,0.00104705,0.00104705
84,756.434,0.83337,0.77376,0.97743,0.97656,0.99414,0.99432,0.79122,0.80979,0.83294,0.99355,0.00104458,0.00104458,0.00104458
85,765.148,0.73689,0.77999,0.99612,0.96124,1,0.99386,0.78111,0.8544,0.87759,1.00074,0.0010421,0.0010421,0.0010421
86,774.009,0.8198,0.7153,0.96114,0.96886,0.97984,0.99363,0.78701,0.86404,0.92467,0.99952,0.00103962,0.00103962,0.00103962
87,782.557,0.74179,0.69333,0.94802,0.98396,0.99093,0.99432,0.79008,0.8156,0.89773,0.98216,0.00103715,0.00103715,0.00103715
88,791.508,0.82414,0.78008,0.97147,0.98396,0.95019,0.99409,0.79421,0.7814,0.89134,0.96676,0.00103468,0.00103468,0.00103468
89,800.49,0.75161,0.70623,0.9686,0.98812,0.946,0.9939,0.80007,0.76057,0.86852,0.9519,0.0010322,0.0010322,0.0010322
90,809.214,0.81211,0.6995,0.90834,0.99177,0.96484,0.99023,0.79945,0.75648,0.85649,0.95065,0.00102972,0.00102972,0.00102972
91,817.982,0.73311,0.67937,0.99473,0.98885,0.98105,0.98843,0.80092,0.76633,0.80131,0.95643,0.00102725,0.00102725,0.00102725
92,827.633,0.78873,0.70822,0.96352,0.98511,0.97701,0.98756,0.79103,0.77136,0.79278,0.96569,0.00102478,0.00102478,0.00102478
93,836.642,0.74526,0.68154,0.9548,0.98556,0.97939,0.98539,0.7872,0.76724,0.76007,0.9662,0.0010223,0.0010223,0.0010223
94,845.639,0.78355,0.7215,0.93628,0.98555,0.98359,0.98284,0.78613,0.77256,0.75009,0.97155,0.00101983,0.00101983,0.00101983
95,854.598,0.82678,0.75148,0.95486,0.98901,0.98145,0.98339,0.79341,0.746,0.71336,0.96201,0.00101735,0.00101735,0.00101735
96,863.407,0.82232,0.7497,0.89859,0.99318,0.99035,0.995,0.79153,0.764,0.68415,0.96119,0.00101488,0.00101488,0.00101488
97,872.153,0.78716,0.73509,0.97423,0.99677,0.9958,0.995,0.79685,0.7456,0.65843,0.94587,0.0010124,0.0010124,0.0010124
98,880.968,0.86295,0.6788,0.93629,0.99363,0.99855,0.995,0.80312,0.73431,0.66385,0.94058,0.00100993,0.00100993,0.00100993
99,889.918,0.75468,0.68796,0.93192,0.99355,0.99763,0.995,0.80132,0.74764,0.69503,0.95064,0.00100745,0.00100745,0.00100745
100,898.832,0.72949,0.6205,0.8905,0.99018,1,0.995,0.80926,0.74736,0.72293,0.95674,0.00100497,0.00100497,0.00100497
101,907.816,0.81762,0.70892,0.98777,0.98198,0.9848,0.995,0.8119,0.72863,0.74013,0.94943,0.0010025,0.0010025,0.0010025
102,916.626,0.69209,0.60284,0.9147,0.9687,0.97855,0.99417,0.81991,0.70895,0.73414,0.94398,0.00100003,0.00100003,0.00100003
103,925.463,0.90206,0.7216,0.97212,0.94286,0.98771,0.99195,0.80647,0.70655,0.75826,0.94003,0.00099755,0.00099755,0.00099755
104,934.392,0.76132,0.65473,0.9713,0.92379,0.96859,0.99099,0.78477,0.75815,0.78715,0.95998,0.000995075,0.000995075,0.000995075
