epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,89.0336,0.77851,0.83492,0.9261,0.98132,0.0969,0.37158,0.27843,0.82101,3.12613,0.97689,0.000807044,0.000807044,0.000807044
78,90.1877,0.83971,0.87678,0.9316,0.96917,0.13281,0.36569,0.27624,0.80911,3.10221,0.97965,0.000815757,0.000815757,0.000815757
79,91.4309,0.80114,0.82946,0.93603,0.96763,0.15763,0.44917,0.33914,0.82718,3.03826,0.98721,0.000824421,0.000824421,0.000824421
80,92.5999,0.87713,0.91804,0.97994,0.98366,0.125,0.44758,0.3396,0.83884,3.06749,0.98665,0.000833035,0.000833035,0.000833035
81,93.7835,0.81675,0.88227,0.95801,1,0.12079,0.40573,0.30135,0.8386,3.16496,0.98789,0.0008416,0.0008416,0.0008416
82,94.9272,0.80276,0.79681,0.95521,0.98073,0.09356,0.33156,0.2355,0.88219,3.22061,1.0053,0.000850115,0.000850115,0.000850115
83,96.0798,0.88938,0.84069,0.96502,0.94896,0.11719,0.31839,0.22861,0.86311,3.22501,0.99736,0.000858581,0.000858581,0.000858581
84,97.2505,0.81228,0.79422,0.93859,0.94319,0.11719,0.33845,0.25691,0.82206,3.17966,0.97799,0.000866997,0.000866997,0.000866997
85,98.3977,0.79201,0.81499,0.93092,0.98393,0.11384,0.39643,0.3028,0.81716,3.11674,0.96997,0.000875364,0.000875364,0.000875364
86,99.5413,0.80418,0.81467,0.94429,0.9738,0.13353,0.43704,0.33426,0.83464,3.07151,0.97378,0.000883681,0.000883681,0.000883681
87,100.771,0.79112,0.78324,0.94951,0.99938,0.14062,0.50404,0.39045,0.85038,3.03915,0.98137,0.000891949,0.000891949,0.000891949
88,101.923,0.84305,0.89271,1.00319,1,0.1175,0.53373,0.40615,0.87015,3.0674,0.99092,0.000900167,0.000900167,0.000900167
89,103.09,0.86088,0.84309,1.00187,0.90785,0.06705,0.44628,0.34075,0.84425,3.0817,0.97056,0.000908336,0.000908336,0.000908336
90,104.241,0.86416,0.86651,0.96107,0.8654,0.04688,0.41095,0.30896,0.82276,3.05547,0.96651,0.000916455,0.000916455,0.000916455
91,105.385,0.84409,0.86967,0.97257,0.89386,0.06359,0.44584,0.34822,0.81938,3.03764,0.96453,0.000924525,0.000924525,0.000924525
92,106.546,0.89755,0.80726,0.95534,0.88727,0.06806,0.50547,0.39684,0.82093,2.99687,0.97558,0.000932545,0.000932545,0.000932545
93,107.776,0.80521,0.79617,0.90896,0.96898,0.11801,0.5844,0.462,0.83167,2.89155,0.99319,0.000940516,0.000940516,0.000940516
94,108.932,0.77205,0.83515,0.93577,0.9865,0.19036,0.57372,0.45481,0.81805,2.8062,0.98374,0.000948437,0.000948437,0.000948437
95,110.162,0.88571,0.75917,0.95055,0.99609,0.28426,0.66455,0.53168,0.79144,2.62845,0.97759,0.000956309,0.000956309,0.000956309
96,111.314,0.79071,0.76976,0.94686,0.9467,0.31249,0.68728,0.54778,0.78696,2.51852,0.97258,0.000964131,0.000964131,0.000964131
97,112.467,0.79942,0.74871,0.92626,0.89484,0.29727,0.65565,0.51943,0.81892,2.5412,0.98434,0.000971904,0.000971904,0.000971904
98,113.625,0.79948,0.7789,0.92599,0.86852,0.3068,0.71226,0.55517,0.86006,2.475,0.99792,0.000979627,0.000979627,0.000979627
99,114.778,0.85121,0.79294,0.9637,0.85905,0.34154,0.86107,0.6766,0.84678,2.32883,0.9885,0.000987301,0.000987301,0.000987301
100,115.936,0.77426,0.75367,0.93721,0.88991,0.39235,0.91833,0.73361,0.80261,2.16464,0.9696,0.000994925,0.000994925,0.000994925
101,117.094,0.80895,0.76285,0.9215,0.94976,0.43224,0.94883,0.75453,0.79126,2.02021,0.96767,0.0010025,0.0010025,0.0010025
102,118.27,0.78974,0.73276,0.92865,0.95674,0.4582,0.95943,0.77626,0.78971,1.94662,0.96618,0.00100003,0.00100003,0.00100003
103,119.432,0.8283,0.79076,0.9786,0.97899,0.47153,0.97081,0.78139,0.78778,1.96614,0.96228,0.00099755,0.00099755,0.00099755
104,120.672,0.7953,0.7235,0.93188,0.98165,0.50456,0.97652,0.78341,0.79628,1.92997,0.96567,0.000995075,0.000995075,0.000995075
105,121.836,0.80247,0.75453,0.93019,0.99117,0.5963,0.97634,0.78263,0.79443,1.80848,0.96292,0.0009926,0.0009926,0.0009926
106,122.99,0.77609,0.77101,0.97853,0.93074,0.60093,0.97032,0.80108,0.74626,1.73502,0.94361,0.000990125,0.000990125,0.000990125
107,124.158,0.82107,0.76234,0.97918,0.91737,0.60103,0.96771,0.78951,0.73159,1.69609,0.93875,0.00098765,0.00098765,0.00098765
108,125.309,0.85981,0.75266,0.94754,0.92038,0.61762,0.97143,0.79778,0.73121,1.63854,0.94149,0.000985175,0.000985175,0.000985175
109,126.463,0.78106,0.70688,0.92456,0.96249,0.67011,0.97107,0.77608,0.79821,1.5826,0.98311,0.0009827,0.0009827,0.0009827
110,127.659,0.75228,0.7488,0.9521,0.9572,0.67165,0.96762,0.7609,0.86519,1.57309,1.01157,0.000980225,0.000980225,0.000980225
111,128.823,0.84793,0.69793,0.92341,0.99902,0.65493,0.96861,0.7848,0.80815,1.5925,0.98101,0.00097775,0.00097775,0.00097775
112,130.061,0.79647,0.67897,0.94361,0.99964,0.66103,0.96971,0.79634,0.76455,1.58466,0.94922,0.000975275,0.000975275,0.000975275
113,131.239,0.79731,0.7223,0.92669,0.99134,0.69926,0.97025,0.80223,0.75845,1.54448,0.93989,0.0009728,0.0009728,0.0009728
114,132.399,0.79043,0.72121,0.95388,0.98843,0.8233,0.96924,0.79722,0.71874,1.45164,0.92983,0.000970325,0.000970325,0.000970325
115,133.552,0.70138,0.68347,0.91666,0.9665,0.87076,0.9679,0.80379,0.70936,1.34852,0.93365,0.00096785,0.00096785,0.00096785
116,134.727,0.75197,0.66928,0.90737,0.94042,0.88163,0.96654,0.80111,0.72561,1.29571,0.94844,0.000965375,0.000965375,0.000965375
117,135.883,0.7607,0.68481,0.95196,0.94787,0.78599,0.96749,0.79217,0.75028,1.31586,0.95498,0.0009629,0.0009629,0.0009629
118,137.039,0.7768,0.66017,0.91725,0.96027,0.76367,0.96708,0.79635,0.73943,1.33251,0.95899,0.000960425,0.000960425,0.000960425
119,138.202,0.75072,0.64988,0.92737,0.97788,0.87686,0.96981,0.79521,0.75536,1.26532,0.96966,0.00095795,0.00095795,0.00095795
120,139.451,0.78219,0.67973,0.9429,0.98826,0.90321,0.97123,0.79567,0.76667,1.26129,0.96678,0.000955475,0.000955475,0.000955475
121,140.611,0.72016,0.68608,0.92368,0.98857,0.89576,0.97518,0.8001,0.76139,1.34194,0.9597,0.000953,0.000953,0.000953
122,141.758,0.76121,0.65422,0.97045,0.98661,0.76702,0.97747,0.80442,0.74358,1.40964,0.94273,0.000950525,0.000950525,0.000950525
123,142.912,0.73129,0.66702,0.91158,0.98462,0.78589,0.97803,0.80414,0.72324,1.329,0.93047,0.00094805,0.00094805,0.00094805
124,144.068,0.77089,0.71929,0.94016,0.98609,0.79111,0.97652,0.80004,0.7273,1.30491,0.93392,0.000945575,0.000945575,0.000945575
125,145.228,0.74268,0.6612,0.93608,0.98364,0.81541,0.97497,0.80381,0.71924,1.22251,0.93182,0.0009431,0.0009431,0.0009431
126,146.392,0.74229,0.69002,0.93096,0.98432,0.92548,0.9715,0.79011,0.72312,1.10976,0.93522,0.000940625,0.000940625,0.000940625
127,147.543,0.75021,0.69255,0.9322,0.9853,0.95089,0.96835,0.79514,0.72359,1.09636,0.93425,0.00093815,0.00093815,0.00093815
128,148.804,0.75833,0.6616,0.91286,0.97584,0.94136,0.96686,0.79769,0.72931,1.09393,0.94235,0.000935675,0.000935675,0.000935675
129,150.108,0.75257,0.67592,0.90232,0.97683,0.94806,0.96688,0.79046,0.73807,1.08165,0.94624,0.0009332,0.0009332,0.0009332
130,151.262,0.80675,0.72175,0.94698,0.98116,0.94527,0.96771,0.79347,0.72169,1.08837,0.93926,0.000930725,0.000930725,0.000930725
131,152.421,0.74215,0.71381,0.90854,0.97471,0.95203,0.96638,0.79143,0.70622,1.13871,0.93342,0.00092825,0.00092825,0.00092825
132,153.567,0.76472,0.663,0.89747,0.98246,0.95112,0.96621,0.79889,0.70605,1.12706,0.92862,0.000925775,0.000925775,0.000925775
133,154.712,0.73947,0.66768,0.91503,0.98463,0.94667,0.96551,0.79628,0.728,1.13406,0.93457,0.0009233,0.0009233,0.0009233
134,155.905,0.76456,0.68132,0.9423,0.98943,0.9564,0.96523,0.79469,0.74108,1.13801,0.93558,0.000920825,0.000920825,0.000920825
135,157.07,0.74057,0.72349,0.98333,0.98397,0.96205,0.96518,0.79202,0.7457,1.19162,0.93477,0.00091835,0.00091835,0.00091835
136,158.222,0.74691,0.6504,0.94888,0.98624,0.95226,0.96485,0.79511,0.74019,1.24403,0.93186,0.000915875,0.000915875,0.000915875
137,159.452,0.74465,0.72591,0.94398,0.97493,0.94983,0.9644,0.80141,0.7442,1.19144,0.9338,0.0009134,0.0009134,0.0009134
138,160.617,0.77573,0.70516,0.94281,0.97088,0.90613,0.95408,0.79024,0.7344,1.19246,0.94455,0.000910925,0.000910925,0.000910925
139,161.782,0.74199,0.7344,0.95283,0.98293,0.92216,0.94542,0.77889,0.74857,1.19069,0.94437,0.00090845,0.00090845,0.00090845
140,162.945,0.78855,0.6793,0.93737,0.99061,0.92086,0.95533,0.77564,0.74344,1.18453,0.94587,0.000905975,0.000905975,0.000905975
141,164.103,0.73836,0.63941,0.92666,0.98787,0.90832,0.9541,0.78495,0.71583,1.12894,0.93493,0.0009035,0.0009035,0.0009035
142,165.244,0.65133,0.65404,0.91686,0.96035,0.92067,0.94196,0.78835,0.68447,1.11278,0.92253,0.000901025,0.000901025,0.000901025
143,166.42,0.73639,0.65043,0.90135,0.94124,0.91058,0.94999,0.79757,0.6821,1.07449,0.90864,0.00089855,0.00089855,0.00089855
144,167.571,0.73023,0.61973,0.88168,0.87576,0.90105,0.9642,0.78636,0.69361,1.08183,0.91889,0.000896075,0.000896075,0.000896075
145,168.808,0.70629,0.63241,0.89428,0.85024,0.93961,0.94754,0.76909,0.72337,1.11381,0.94485,0.0008936,0.0008936,0.0008936
146,169.99,0.71815,0.65702,0.94054,0.85864,0.94171,0.91674,0.73324,0.73281,1.13716,0.95642,0.000891125,0.000891125,0.000891125
147,171.159,0.71826,0.6266,0.93825,0.83336,0.93627,0.90278,0.72954,0.7147,1.09526,0.95632,0.00088865,0.00088865,0.00088865
148,172.317,0.73555,0.61521,0.89436,0.86268,0.91189,0.90347,0.73843,0.73121,1.06366,0.96806,0.000886175,0.000886175,0.000886175
149,173.473,0.72298,0.62162,0.93403,0.84443,0.90585,0.91805,0.74047,0.75239,1.06907,0.97427,0.0008837,0.0008837,0.0008837
150,174.633,0.74259,0.63643,0.92919,0.85793,0.92684,0.92704,0.75236,0.75454,1.04373,0.97524,0.000881225,0.000881225,0.000881225
151,175.788,0.70807,0.61056,0.93072,0.92264,0.90307,0.94516,0.77549,0.73498,0.96533,0.96173,0.00087875,0.00087875,0.00087875
152,176.961,0.68759,0.58695,0.90592,0.96157,0.94822,0.96661,0.79056,0.70792,0.89025,0.95655,0.000876275,0.000876275,0.000876275
153,178.115,0.65917,0.58241,0.9073,0.94864,0.97507,0.97987,0.81271,0.68721,0.79437,0.94001,0.0008738,0.0008738,0.0008738
154,179.356,0.70936,0.59668,0.90682,0.93875,0.98,0.98674,0.81799,0.68137,0.76007,0.93154,0.000871325,0.000871325,0.000871325
