epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,108.404,0.82335,0.80792,0.94324,0.9993,0.21899,0.69167,0.53834,0.783,2.70197,0.9543,0.000883681,0.000883681,0.000883681
87,109.649,0.79971,0.78535,0.9502,1,0.21477,0.67486,0.52466,0.79881,2.67164,0.95884,0.000891949,0.000891949,0.000891949
88,110.847,0.85625,0.88719,1.00219,1,0.19137,0.64258,0.49318,0.82996,2.72014,0.97494,0.000900167,0.000900167,0.000900167
89,112.179,0.84933,0.86301,0.99589,1,0.19071,0.62308,0.48142,0.83554,2.77707,0.98479,0.000908336,0.000908336,0.000908336
90,113.477,0.82737,0.84023,0.94483,1,0.18974,0.64936,0.50556,0.82219,2.78406,0.97644,0.000916455,0.000916455,0.000916455
91,114.707,0.88264,0.89268,0.993,1,0.18961,0.66936,0.52195,0.82109,2.82537,0.96312,0.000924525,0.000924525,0.000924525
92,115.913,0.89768,0.82862,0.95588,1,0.19353,0.67141,0.52571,0.81817,2.83181,0.96177,0.000932545,0.000932545,0.000932545
93,117.113,0.84446,0.81224,0.92491,1,0.19051,0.70493,0.54693,0.83138,2.78238,0.97299,0.000940516,0.000940516,0.000940516
94,118.289,0.78411,0.88814,0.93702,1,0.16535,0.72083,0.55925,0.83994,2.74807,0.9769,0.000948437,0.000948437,0.000948437
95,119.456,0.84387,0.75105,0.94307,0.99153,0.22716,0.80236,0.64056,0.81373,2.61223,0.96853,0.000956309,0.000956309,0.000956309
96,120.623,0.77293,0.80571,0.94009,0.98052,0.24695,0.82294,0.65695,0.80579,2.55424,0.96825,0.000964131,0.000964131,0.000964131
97,121.95,0.78152,0.75314,0.92645,0.96551,0.16455,0.72974,0.56788,0.85324,2.60078,0.99117,0.000971904,0.000971904,0.000971904
98,123.119,0.80001,0.77386,0.92753,0.9245,0.14062,0.7374,0.57675,0.87386,2.57243,1.00004,0.000979627,0.000979627,0.000979627
99,124.306,0.8411,0.78867,0.96898,0.92373,0.14844,0.77955,0.61893,0.84566,2.5383,0.99871,0.000987301,0.000987301,0.000987301
100,125.481,0.77425,0.75828,0.93908,0.93232,0.16842,0.83482,0.67066,0.81011,2.48411,0.98021,0.000994925,0.000994925,0.000994925
